session,group,education_level,education_field,work_experience_programming,work_experience_java,work_domain,workplace_peer_review,workplace_pair_programming,workplace_td_tracking,workplace_coding_standards,scenario,order,high_debt_version,quality_pre_task,quality_post_task,time,sonarqube_issues_major,sonarqube_issues_info,sonarqube_issues_minor,sonarqube_issues_critical,modified_lines,task_completion,reused_logic_constructor,reused_logic_validation,var_names_copied_all,var_names_copied_good,var_names_new_all,var_names_new_good,var_names_edited_all,var_names_edited_good,equals_state,hashcode_state,documentation_state,large_structure_change
6033c6fc5af2c702367b3a93,students,Bachelor degree,Computer Science,0E+00,0E+00,None,false,true,false,false,booking,1,false,0,-3,1055,0,0,0,0,75,Does not compile,true,true,6,6,4,4,0,0,Duplicated,Duplicated,None,false
6033c6fc5af2c702367b3a93,students,Bachelor degree,Computer Science,0E+00,0E+00,None,false,true,false,false,tickets,0,true,-1,-3,2263,2,0,2,0,71,Completed,false,false,12,1,3,1,0,0,Duplicated,Duplicated,Incorrect,false
6033c7315af2c702367b3a94,students,Some master studies,Computer Science,2E-01,0E+00,Automotive,true,false,false,true,booking,0,true,2,-1,3249,5,0,0,0,78,Invalid solution,false,false,15,3,4,0,0,0,Not implemented,Not implemented,Incorrect,false
6033c7315af2c702367b3a94,students,Some master studies,Computer Science,2E-01,0E+00,Automotive,true,false,false,true,tickets,1,false,2,0,12,0,0,0,0,0,Not submitted,false,false,0,0,0,0,0,0,Not implemented,Not implemented,None,false
6033d69a5af2c702367b3a95,students,Some master studies,Computer Science,1E+00,0E+00,Finance,false,false,false,false,booking,0,false,0,0,1382,0,0,0,0,41,Completed,true,true,8,8,4,4,0,0,Not implemented,Not implemented,Correct,false
6033d69a5af2c702367b3a95,students,Some master studies,Computer Science,1E+00,0E+00,Finance,false,false,false,false,tickets,1,true,-2,0,1197,3,0,0,0,22,Completed,true,true,7,5,2,2,0,0,Good,Good,None,false
6033d90a5af2c702367b3a96,students,Some bachelor studies,Software Engineering,0E+00,0E+00,Automotive,false,false,false,true,booking,1,true,-2,0,3855,1,0,0,0,18,Completed,true,true,5,3,4,4,0,0,Not implemented,Not implemented,None,false
6033d90a5af2c702367b3a96,students,Some bachelor studies,Software Engineering,0E+00,0E+00,Automotive,false,false,false,true,tickets,0,false,2,0,1984,0,0,0,0,32,Completed,true,true,7,7,2,2,0,0,Good,Good,Incorrect,false
6033ea8a5af2c702367b3a97,students,Some bachelor studies,Software Engineering,0E+00,0E+00,None,false,false,false,false,booking,0,false,0,0,0,0,0,0,0,0,Not submitted,false,false,0,0,0,0,0,0,Not implemented,Not implemented,None/Incorrect/Correct,false
6034fc165af2c702367b3a98,students,Some master studies,Software Engineering,2E+00,0E+00,Web,false,false,false,false,booking,1,true,-1,2,5309,8,0,4,0,246,Completed,false,true,9,1,22,11,0,0,Good,Good,None,true
6034fc165af2c702367b3a98,students,Some master studies,Software Engineering,2E+00,0E+00,Web,false,false,false,false,tickets,0,false,1,0,868,1,0,0,0,14,Completed,true,true,6,6,2,2,0,0,Not implemented,Not implemented,None,false
603500725af2c702367b3a99,students,Some bachelor studies,Software Engineering,0E+00,0E+00,None,false,false,false,false,booking,1,false,2,0,622,0,0,0,1,49,Completed,false,false,9,9,4,4,0,0,Duplicated,Duplicated,Incorrect,false
603500725af2c702367b3a99,students,Some bachelor studies,Software Engineering,0E+00,0E+00,None,false,false,false,false,tickets,0,true,3,0,474,0,0,0,0,54,Completed,false,false,12,1,2,0,0,0,Duplicated,Duplicated,Incorrect,false
603f84f15af2c702367b3a9b,students,Some master studies,Computer Science,2E+00,0E+00,Adtech,true,true,false,true,booking,0,true,-1,-2,2214,2,0,0,0,22,Invalid solution,true,true,6,1,5,1,0,0,Not implemented,Not implemented,None,false
603f84f15af2c702367b3a9b,students,Some master studies,Computer Science,2E+00,0E+00,Adtech,true,true,false,true,tickets,1,false,1,0,448,1,0,0,0,17,Completed,true,true,6,6,2,2,0,0,Not implemented,Not implemented,Correct,false
603f97625af2c702367b3a9d,students,Some master studies,Computer Science,0E+00,0E+00,Web,true,false,false,true,booking,0,true,-1,0,1084,3,0,0,0,75,Completed,false,false,14,3,4,4,0,0,Duplicated,Duplicated,Incorrect,false
603f97625af2c702367b3a9d,students,Some master studies,Computer Science,0E+00,0E+00,Web,true,false,false,true,tickets,1,false,1,0,1170,6,0,1,0,34,Completed,false,false,8,8,4,4,0,0,Duplicated,Duplicated,Incorrect,false
603fd5d95af2c702367b3a9e,students,Some bachelor studies,Software Engineering,5E-01,0E+00,Automotive,false,true,false,false,booking,1,false,-1,1,3691,2,0,0,0,35,Completed,true,true,6,6,4,4,0,0,Good,Good,None,false
603fd5d95af2c702367b3a9e,students,Some bachelor studies,Software Engineering,5E-01,0E+00,Automotive,false,true,false,false,tickets,0,true,2,0,1055,0,0,0,0,14,Completed,true,true,6,0,2,0,0,0,Not implemented,Not implemented,None,false
60409b7b5af2c702367b3a9f,students,Some master studies,Software Engineering,0E+00,0E+00,None,false,false,false,false,booking,0,true,0,-1,3060,3,0,0,0,79,Completed,false,false,15,9,4,4,0,0,Not implemented,Not implemented,Incorrect,false
60409b7b5af2c702367b3a9f,students,Some master studies,Software Engineering,0E+00,0E+00,None,false,false,false,false,tickets,1,false,0,-1,3195,3,0,0,0,31,Completed,false,false,7,7,1,1,0,0,Duplicated,Duplicated,Incorrect,false
604b82b5a7718fbed181b336,consultants,Master degree,Software Engineering,2E+00,1E+00,Web,false,true,true,false,booking,0,true,2,-1,1191,3,1,2,1,38,Completed,true,false,6,0,7,4,0,0,Not implemented,Not implemented,None,false
604b82b5a7718fbed181b336,consultants,Master degree,Software Engineering,2E+00,1E+00,Web,false,true,true,false,tickets,1,false,2,0,534,2,0,1,0,12,Completed,true,true,6,6,2,2,0,0,Not implemented,Not implemented,None,false
604b840aa7718fbed181b337,consultants,Ph. D.,Computer Science,6E+00,4E+00,Research,true,true,true,true,booking,0,false,0,0,1606,0,0,0,0,5,Not submitted,false,false,0,0,0,0,0,0,Not implemented,Not implemented,None,false
